date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:57	6850/6850	---M-Z	200	added ('OK')	text/css	etag:%2203a31f4993fd41:0%22	http://dev.web-cruit.com/tagmanager/css/tagmanager.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/css/tagmanager4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:57	242/242	---M--	200	added ('OK')	application/x-javascript	etag:%22f872c9f4993fd41:0%22	http://dev.web-cruit.com/tagmanager/tagmanagerscripts/objectKeysLength.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/tagmanagerscripts/objectKeysLength4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:57	44100/44100	---M-Z	200	added ('OK')	application/x-javascript	etag:%2203a31f4993fd41:0%22	http://dev.web-cruit.com/tagmanager/tagmanagerscripts/adminTagManager.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/tagmanagerscripts/adminTagManager4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:58	2568/2568	---M--	200	added ('OK')	application/x-javascript	etag:%2280ebbef4993fd41:0%22	http://dev.web-cruit.com/tagmanager/tagmanagerscripts/formValidationRules.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/tagmanagerscripts/formValidationRules4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:58	365/365	---M--	200	added ('OK')	application/x-javascript	etag:%22b916bdf4993fd41:0%22	http://dev.web-cruit.com/tagmanager/tagmanagerscripts/loadingDialogContent.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/tagmanagerscripts/loadingDialogContent4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:58	142633/142633	U-----	200	untouched ('OK')	text/css	etag:%2280a76a49a3fd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/bootstrap.min.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/bootstrap.min4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:58	609/609	---M--	200	added ('OK')	image/png	etag:%22715739ae9a3fd41:0%22	http://dev.web-cruit.com/tagmanager/images/taghierarchyarrowhoriz.png	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/images/taghierarchyarrowhoriz.png	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:58	29063/29063	U-----	200	untouched ('OK')	text/css	etag:%2280d437a59a3fd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/font-awesome/font-awesome-4.6.3/css/font-awesome.min.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/font-awesome/font-awesome-4.6.3/css/font-awesome.min4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:59	31344/31344	U-----	200	untouched ('OK')	text/css	etag:%2280c6109e9a3fd41:0%22	http://dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery-ui/1.8/themes/base/jquery-ui4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:59	8520/8520	U-----	200	untouched ('OK')	text/css	etag:%2280d27547a5bfd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/wc.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/wc4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:59	16865/16865	U--M--	200	updated ('OK')	text/html	date:Mon,%2006%20May%202019%2009:41:59%20GMT	http://dev.web-cruit.com/tagmanager/index.cfm?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/index4eb2.html	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:41:59	30731/30731	---M--	200	added ('OK')	text/html	date:Mon,%2006%20May%202019%2009:41:59%20GMT	http://dev.web-cruit.com/tagmanager/index.cfm?action=taghierarchymenu&refreshtags=1	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/index00c2.html	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:01	1230/1230	U-----	200	untouched ('OK')	text/css	etag:%229860cba69a3fd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/wc-responsive-table.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/wc-responsive-table4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:01	7149/7149	U-----	200	untouched ('OK')	text/css	etag:%2280d27547a5bfd41:0%22	http://dev.web-cruit.com/images/css/web-cruit/bootstrap-table.css?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/css/web-cruit/bootstrap-table4eb2.css	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:01	97163/97163	U-----	200	untouched ('OK')	application/x-javascript	etag:%22030789d9a3fd41:0%22	http://dev.web-cruit.com/images/js/jquery/1.12.4/jquery.min.js?20190505184942	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/images/js/jquery/1.12.4/jquery.min4eb2.js	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
10:42:01	16865/16865	---M--	200	added ('OK')	text/html	date:Mon,%2006%20May%202019%2009:41:59%20GMT	http://dev.web-cruit.com/tagmanager/index.cfm	C:/CV/tagmanager/tag%20manager/dev.web-cruit.com/tagmanager/index.1e.delayed	(from http://dev.web-cruit.com/tagmanager/index.cfm?action=admintag&tagid=4007)
